,latitude,longitude
AD,42.558333,1.555278
AL,41.0,20.0
AT,48.0,14.0
AZ,40.3,47.7
BA,44.0,18.0
BE,50.641111,4.668056
BG,42.75,25.5
BY,53.528333,28.046667
HR,45.25,15.466667
CY,35.0,33.0
CZ,49.5,16.0
DK,56.0,10.0
EE,59.0,26.0
FI,65.0,27.0
FR,47.0,2.0
DE,51.0,10.0
GR,38.5,23.0
HU,47.0,19.0
IE,53.333333,-8.0
IT,42.5,12.5
LV,57.0,25.0
LT,55.2,24.0
LU,49.77,6.13
MT,35.883333,14.5
NL,52.316667,5.55
PL,52.0,19.0
PT,38.7,-9.183333
RO,46.0,25.0
SK,49.0,20.0
SI,46.0,15.0
ES,40.2,-3.5
SE,61.0,15.0
GB,54.6,-2.0
GE,,
IS,65.0,-19.0
KZ,48.0,68.0
LI,47.145,9.553889
MD,47.25,28.516667
MC,43.731111,7.42
NO,65.0,11.0
RU,66.416667,94.25
SM,43.933333,12.466667
RS,43.95,20.933333
CH,46.798562,8.231973
TR,39.0,36.0
UA,49.0,32.0
