,population
AD,77265.0
AL,2862427.0
AT,8858775.0
AZ,10139175.0
BA,3280815.0
BE,11455519.0
BG,7000039.0
BY,9449321.0
HR,4076246.0
CY,875899.0
CZ,10649800.0
DK,5806081.0
EE,1324820.0
FI,5517919.0
FR,67012883.0
DE,83019213.0
GR,10724599.0
HU,9772756.0
IE,4904240.0
IT,60359546.0
LV,1919968.0
LT,2794184.0
LU,613894.0
MT,493559.0
NL,17282163.0
PL,37972812.0
PT,10276617.0
RO,19414458.0
SK,5450421.0
SI,2080908.0
ES,46937060.0
SE,10230185.0
GB,66647112.0
GE,3989175.0
IS,356991.0
KZ,18776707.0
LI,38378.0
MD,4033963.0
MC,39244.0
NO,5328212.0
RU,145934460.0
SM,33938.0
RS,6963764.0
CH,8544527.0
TR,82003882.0
UA,43733759.0
