,latitude,longitude
US_AL,32.7,-86.7
US_AR,34.8,-92.2
US_AZ,34.286667,-111.656944
US_CA,37.0,-120.0
US_CO,39.0,-105.5
US_CT,41.6,-72.7
US_DE,39.0,-75.5
US_FL,28.133333,-81.631667
US_GA,33.0,-83.5
US_IA,42.0,-93.0
US_ID,45.0,-114.0
US_IL,40.000278,-89.250278
US_IN,39.933333,-86.216667
US_KS,38.5,-98.0
US_KY,37.5,-85.0
US_LA,31.0,-92.0
US_MA,42.3,-71.8
US_MD,39.0,-76.7
US_ME,45.5,-69.0
US_MI,44.34,-85.58
US_MN,46.0,-94.0
US_MO,38.5,-92.5
US_MS,33.0,-90.0
US_MT,47.0,-110.0
US_NC,35.5,-80.0
US_ND,47.5,-100.5
US_NE,41.5,-100.0
US_NH,44.0,-71.5
US_NJ,40.0,-74.5
US_NM,34.0,-106.0
US_NV,39.0,-117.0
US_NY,43.0,-75.0
US_OH,40.5,-82.5
US_OK,35.5,-98.0
US_OR,43.935833,-120.575
US_PA,41.0,-77.5
US_RI,41.7,-71.5
US_SC,34.0,-81.0
US_SD,44.5,-100.0
US_TN,36.0,-86.0
US_TX,31.0,-100.0
US_UT,39.5,-111.5
US_VA,37.5,-79.0
US_VT,44.0,-72.7
US_WA,47.5,-120.5
US_WI,44.5,-89.5
US_WV,39.0,-80.5
US_WY,43.0,-107.5
