,US_AL,US_AR,US_AZ,US_CA,US_CO,US_CT,US_DE,US_FL,US_GA,US_IA,US_ID,US_IL,US_IN,US_KS,US_KY,US_LA,US_MA,US_MD,US_ME,US_MI,US_MN,US_MO,US_MS,US_MT,US_NC,US_ND,US_NE,US_NH,US_NJ,US_NM,US_NV,US_NY,US_OH,US_OK,US_OR,US_PA,US_RI,US_SC,US_SD,US_TN,US_TX,US_UT,US_VA,US_VT,US_WA,US_WI,US_WV,US_WY
2020-02-09,7.74,7.74,11.31,11.31,7.74,11.31,11.31,7.74,7.74,7.74,7.74,11.31,11.31,7.74,11.31,7.74,7.74,7.74,7.74,11.31,11.31,11.31,7.74,7.74,7.74,11.31,11.31,11.31,11.31,7.74,7.74,11.31,11.31,11.31,7.74,11.31,14.88,11.31,7.74,7.74,7.74,7.74,7.74,11.31,11.31,11.31,7.74,11.31
2020-02-10,7.74,7.74,11.31,11.31,7.74,11.31,11.31,7.74,7.74,7.74,7.74,11.31,11.31,7.74,11.31,7.74,7.74,7.74,11.31,11.31,11.31,11.31,7.74,7.74,7.74,11.31,11.31,11.31,11.31,7.74,7.74,11.31,11.31,11.31,7.74,11.31,14.88,11.31,7.74,7.74,7.74,7.74,7.74,11.31,11.31,11.31,7.74,11.31
2020-02-11,11.31,11.31,14.88,14.88,11.31,14.88,14.88,11.31,11.31,11.31,11.31,14.88,14.88,11.31,14.88,11.31,11.31,11.31,14.88,14.88,14.88,14.88,11.31,11.31,11.31,14.88,14.88,14.88,14.88,11.31,11.31,14.88,14.88,14.88,11.31,14.88,18.45,14.88,11.31,11.31,11.31,11.31,11.31,14.88,14.88,14.88,11.31,14.88
2020-02-12,11.31,11.31,14.88,14.88,11.31,14.88,14.88,11.31,11.31,11.31,11.31,14.88,14.88,11.31,14.88,11.31,11.31,11.31,14.88,14.88,14.88,14.88,11.31,11.31,11.31,14.88,14.88,14.88,14.88,11.31,11.31,14.88,14.88,14.88,11.31,14.88,18.45,14.88,11.31,11.31,11.31,11.31,11.31,14.88,14.88,14.88,11.31,14.88
2020-02-13,11.31,11.31,14.88,14.88,11.31,14.88,14.88,11.31,11.31,11.31,11.31,14.88,14.88,11.31,14.88,11.31,11.31,11.31,14.88,14.88,14.88,14.88,11.31,11.31,11.31,14.88,14.88,14.88,14.88,11.31,11.31,14.88,14.88,14.88,11.31,14.88,18.45,14.88,11.31,11.31,11.31,11.31,11.31,14.88,14.88,14.88,11.31,14.88
2020-02-14,11.31,11.31,14.88,14.88,11.31,14.88,14.88,11.31,11.31,11.31,11.31,14.88,14.88,11.31,14.88,11.31,11.31,11.31,14.88,14.88,14.88,14.88,11.31,11.31,11.31,14.88,14.88,14.88,14.88,11.31,11.31,14.88,14.88,14.88,11.31,14.88,18.45,14.88,11.31,11.31,11.31,11.31,11.31,14.88,14.88,14.88,11.31,14.88
2020-02-15,11.31,11.31,14.88,14.88,11.31,14.88,14.88,11.31,11.31,11.31,11.31,14.88,14.88,11.31,14.88,11.31,11.31,11.31,14.88,14.88,14.88,14.88,11.31,11.31,11.31,14.88,14.88,14.88,14.88,11.31,11.31,14.88,14.88,14.88,11.31,14.88,18.45,14.88,11.31,11.31,11.31,11.31,11.31,14.88,14.88,14.88,11.31,14.88
2020-02-16,11.31,11.31,14.88,14.88,11.31,14.88,14.88,11.31,11.31,11.31,11.31,14.88,14.88,11.31,14.88,11.31,11.31,11.31,14.88,14.88,14.88,14.88,11.31,11.31,11.31,14.88,14.88,14.88,14.88,11.31,11.31,14.88,14.88,14.88,11.31,14.88,18.45,14.88,11.31,11.31,11.31,11.31,11.31,14.88,14.88,14.88,11.31,14.88
2020-02-17,11.31,11.31,14.88,14.88,11.31,14.88,14.88,11.31,11.31,11.31,11.31,14.88,14.88,11.31,14.88,11.31,11.31,11.31,14.88,14.88,14.88,14.88,11.31,11.31,11.31,14.88,14.88,14.88,14.88,11.31,11.31,14.88,14.88,14.88,11.31,14.88,18.45,14.88,11.31,11.31,11.31,11.31,11.31,14.88,14.88,14.88,11.31,14.88
2020-02-18,11.31,11.31,14.88,14.88,11.31,14.88,14.88,11.31,11.31,11.31,11.31,14.88,14.88,11.31,14.88,11.31,11.31,11.31,14.88,14.88,14.88,14.88,11.31,11.31,11.31,14.88,14.88,14.88,14.88,11.31,11.31,14.88,14.88,14.88,11.31,14.88,18.45,14.88,11.31,11.31,11.31,11.31,11.31,14.88,14.88,14.88,11.31,14.88
