,population
US_AK,733391.0
US_AL,5024279.0
US_AR,3011524.0
US_AS,49710.0
US_AZ,7151502.0
US_CA,39538223.0
US_CO,5773714.0
US_CT,3605944.0
US_DC,689545.0
US_DE,989948.0
US_FL,21538187.0
US_GA,10711908.0
US_GU,153836.0
US_HI,1455271.0
US_IA,3190369.0
US_ID,1839106.0
US_IL,12812508.0
US_IN,6785528.0
US_KS,2937880.0
US_KY,4505836.0
US_LA,4657757.0
US_MA,7029917.0
US_MD,6177224.0
US_ME,1362359.0
US_MI,10077331.0
US_MN,5706494.0
US_MO,6154913.0
US_MP,47329.0
US_MS,2961279.0
US_MT,1084225.0
US_NC,10439388.0
US_ND,779094.0
US_NE,1961504.0
US_NH,1377529.0
US_NJ,9288994.0
US_NM,2117522.0
US_NV,3104614.0
US_NY,20201249.0
US_OH,11799448.0
US_OK,3959353.0
US_OR,4237256.0
US_PA,13002700.0
US_PR,3285874.0
US_RI,1097379.0
US_SC,5118425.0
US_SD,886667.0
US_TN,6910840.0
US_TX,29145505.0
US_UT,3271616.0
US_VA,8631393.0
US_VI,87146.0
US_VT,643077.0
US_WA,7705281.0
US_WI,5893718.0
US_WV,1793716.0
US_WY,576851.0
