,clustering,cluster,cluster_size,cost,total_points,explained_variance,silhouette,geo_silhouette,health_silhouette,geo_pairwise,health_pairwise,containment_health,avg_infections
0,0,0,1,0.0,92,14086.65280760371,0.0,0.0,0.0,0.0,0.0,56.11956521739139,9.953117828539456
1,0,1,1,0.0,66,16884.506623304907,0.0,0.0,0.0,0.0,0.0,52.88318181818185,20.055546975456323
2,0,2,1,0.0,89,36156.5449743848,0.0,0.0,0.0,0.0,0.0,38.0901123595505,48.65609301772754
3,0,3,1,0.0,60,14523.051076075526,0.0,0.0,0.0,0.0,0.0,31.54999999999997,22.129040482613583
4,0,4,1,0.0,98,17680.090016102185,0.0,0.0,0.0,0.0,0.0,54.030510204081615,17.973164272547397
5,0,5,2,0.022099813219262562,524,744406.2823623541,-0.3541950821888544,-0.1117325219686874,-0.3658212253281774,1258.6742268966134,0.027776948898017045,46.71322102174821,26.930543736508934
6,0,6,3,0.051900423362403594,322,170850.77061180456,-0.23296127568735722,-0.18779082971701413,-0.5090528590766404,783.4311342989271,0.03758613259924581,61.156076600536686,10.0403225526077
7,0,7,4,0.03076882287555709,748,2068437.959959576,0.11012757402260381,0.0062632192316824375,-0.25779825411501806,1158.6466462667242,0.024573656040417568,35.95187097839378,47.343739134009816
8,0,8,3,0.07354729964234605,777,494670.75339192926,-0.4486244517444802,-0.17825532584083,-0.17476638573235048,848.4125372731247,0.03276841187696041,53.20331300510156,29.793374553700705
9,0,9,2,0.011836399277423878,402,3736852.647220124,-0.1786454355067515,0.8309699266020885,-0.6086390453458241,176.3759820730431,0.040063836658745806,35.03808914845312,85.51138909462536
10,0,10,2,0.03802514863455642,193,25707.05537717444,-0.3069411515570835,-0.3990769904737822,-0.30481291917768744,2103.717088029787,0.0261632337790185,34.11088235294112,27.73983302694631
11,0,11,4,0.03564817848217678,1247,569099.6674675517,-0.4304593279503645,-0.29331264008514757,-0.4249504790173491,1227.6101804564455,0.039021416527303905,51.51163156245789,20.66423746497616
12,0,12,4,0.03341864843716891,492,317042.46021876205,-0.041190529508234736,0.06525259871716355,-0.4868774624897161,729.9588887855858,0.02479873682102664,57.7722621531983,13.417835709197313
13,0,13,13,0.021543619675461298,1815,13234812.259884266,0.1719911550851521,-0.40512111485158936,-0.07050549194537192,2005.8771414617095,0.01889719333622283,37.51047071529559,75.83698467402472
14,0,14,5,0.06498051433909988,865,441257.8858809029,-0.37250933614365933,-0.5228899683369209,-0.13215008944097836,2389.0637477157125,0.019475284484881044,59.75100727018311,12.436036880082645
15,0,15,9,0.06184308455826107,1168,580172.0448442468,-0.10583009845212715,-0.1152655030972154,-0.13132122805380866,1425.4674434889725,0.02508557225365335,40.501701290914724,25.16449913457061
16,0,16,6,0.05291248327814167,695,4443293.048844679,-0.25515318943144044,-0.04751224546037688,-0.07288948898448305,988.916711796323,0.020861371733894598,35.009282203960886,76.70441710730294
17,0,17,5,0.05535953151815993,677,330952.15290094784,-0.3113269203179164,-0.4013256716533096,-0.5579903568952554,1385.7932592522513,0.029133702193720367,53.71390376647393,11.50913332994201
18,0,18,9,0.04561032769771171,3289,2473779.375473053,-0.17327080035381368,-0.31297492548794825,-0.05994783782220478,1578.8813860805033,0.02592100564161462,53.65949216755351,21.488431412408744
19,0,19,7,0.06519327850827007,1158,540557.5162181836,-0.09992757980465984,-0.3887467120555287,-0.2797081222319152,1355.8897461252723,0.01728061535269588,54.76005938541471,11.482211232792853
20,0,20,3,0.013565410887022377,351,69620.94128720363,0.27418391244840506,0.23366937847387445,-0.3589750380174579,714.6372664598244,0.03334209420910334,34.984859437751034,26.414546374420713
21,0,21,12,0.0861259217476063,1422,288012.96259432763,-0.24285154174836154,-0.05671387943097419,-0.21405763476209785,1019.6327735666465,0.021366492544669238,34.437219105347964,25.225929064990428
22,0,22,9,0.035941119541256936,562,19081.512074160935,0.013078180763904379,0.06395640845294225,0.0487252484157267,478.797828730363,0.012587013544293453,33.66049438571034,27.757725337845265
23,0,23,22,0.05403034715018489,2521,910085.4605896093,0.0,0.0,0.0,1555.810612900878,0.017437497931217814,53.064544721727046,15.172629854498508
24,0,24,30,0.10168009316507047,4482,2396330.167163326,-0.20057378742571355,-0.034215607864300376,0.007674500712906789,1249.0345076346343,0.017538455063899113,39.1731536701237,30.318742239125235
25,0,25,17,0.036839486403457036,5452,3841706.7983728945,0.264099436039253,-0.09047116657610099,-0.06496859153648211,967.9433776389528,0.021919763526664412,50.438997379495184,28.547666727425007
26,0,26,4,0.05830624702501567,617,271432.42449696065,-0.25722616100475565,-0.028100475081024756,-0.0897450273255573,1158.0948791557564,0.013979792979052696,51.27671782508047,12.015946474639527
27,0,27,8,0.060411503996202105,2335,1326956.9124993924,-0.4363810441796136,0.06334874391701664,-0.014890489901764198,812.4478807247126,0.018656182640841536,49.57603252701101,29.197376415559383
28,0,28,26,0.03852077580939468,3597,21331270.84995413,-0.15190708330164437,-0.022034257756714713,-0.1862973026579467,997.972630083228,0.021278939000157242,36.44857723261833,69.11671851357616
29,0,29,2,0.04794868024047852,208,48507.10493263128,0.0,0.0,0.0,2693.546914127534,0.03676238795731036,66.68254409638546,13.953598050644827
30,0,30,8,0.03618186925809328,1718,925157.2924950594,0.005535635030058189,-0.1682568962913354,-0.2208162479174821,1272.664109797599,0.025122428155184867,54.42545932611301,27.62755425231928
31,0,31,8,0.12569750290420884,653,341880.2094579434,-0.15710131758499257,-0.15966661445690694,-0.023833224115982647,770.748015708861,0.017451429548958185,57.03309218356698,6.729465177000601
32,0,32,35,0.11121633767542195,5078,1790110.0854989795,-0.2808030652140812,-0.26529093988939473,0.28121263129108565,1390.2659409890207,0.014814827415776598,32.49652642234741,26.65432092473721
33,0,33,7,0.029629526177958315,1464,2110187.2114373418,-0.031111766776074214,-0.10024514958783169,-0.06087674319317632,1391.1151372638483,0.0172289828708208,36.42493969013124,38.31152093280467
34,1,0,1,0.0,92,14086.65280760371,0.0,0.0,0.0,0.0,0.0,56.11956521739139,9.953117828539456
35,1,1,1,0.0,66,16884.506623304907,0.0,0.0,0.0,0.0,0.0,52.88318181818185,20.055546975456323
36,1,2,1,0.0,89,36156.5449743848,0.0,0.0,0.0,0.0,0.0,38.0901123595505,48.65609301772754
37,1,3,1,0.0,60,14523.051076075526,0.0,0.0,0.0,0.0,0.0,31.54999999999997,22.129040482613583
38,1,4,1,0.0,98,17680.090016102185,0.0,0.0,0.0,0.0,0.0,54.030510204081615,17.973164272547397
39,1,5,1,0.0,83,7506.6839446658,0.0,0.0,0.0,0.0,0.0,61.202048192771045,20.397230669625245
40,1,6,3,0.040105981235790754,907,656833.4228537113,-0.43707146556770443,-0.09285265541489784,-0.3152765068938291,2834.946111176465,0.025308408392660044,58.123843892030074,16.17725767050793
41,1,7,5,0.042917130167035106,677,353820.020033348,0.1660573198095263,-0.0794142413048952,-0.4617176623377811,1051.1173284526262,0.03453906762195371,53.072359255971925,9.379425605011253
42,1,8,2,0.06184308455826107,245,206310.0827892032,-0.3958137528746863,0.05951260463042716,0.00287157426503583,904.5884723531018,0.03281959511324437,48.188184562781906,31.16908399088768
43,1,9,2,0.00992688071769907,183,23421.136986887184,0.17932071828254803,-0.015410669506663548,0.02966017488351793,612.8812488692786,0.029567541552204493,34.62232758620686,25.929218246244375
44,1,10,4,0.018792068737130196,762,1796446.485302364,0.12244052420995213,-0.08399207583492396,0.014884913325514268,1545.7900162011972,0.019988760659665577,37.90323857270432,38.60895708874318
45,1,11,2,0.01834248246281626,422,516266.29494887445,-0.14585278016846354,-0.5679065135179353,-0.7872026738203546,5103.274613075731,0.11342082981432283,48.01415198743507,33.39208930213907
46,1,12,5,0.040407775032945036,1401,904183.1605000312,-0.3008479198968887,0.012021612375476309,0.2526539145121385,674.7148333123384,0.010239796340495511,51.186959952119935,31.670186053027074
47,1,13,2,0.06969795078398781,291,80681.06328384629,-0.48756018680340435,-0.6090545222956387,-0.5611984451772287,4718.569211965003,0.09295022492453249,56.10977301204812,21.156196852626074
48,1,14,5,0.03366884439596732,750,218891.3281279337,0.18975245414105374,-0.1076568687753503,-0.18262289457832354,2662.518191737161,0.016047444493952467,33.86149861850101,32.309744678078744
49,1,15,5,0.051288140675386576,1259,1020733.9864552574,-0.2803358502068267,0.01357822899944166,-0.33090775065928335,1114.170168634885,0.02542180355563999,49.426360749335004,32.27173344180785
50,1,16,11,0.05287782776777724,1540,359011.3797986529,-0.22848128022744632,-0.24386405697675048,-0.024461415699234587,1005.7006536343155,0.013368989620356306,31.37056195501393,21.492861591987637
51,1,17,5,0.0523451928587471,1046,430440.8509739828,-0.16103723204139106,-0.20765761871878205,0.1209186384487528,1247.4459232871066,0.011978240395564431,52.0552390335705,14.397833455081685
52,1,18,4,0.03262061479005541,933,510497.2930308436,-0.06331280649467476,-0.5364337186951255,-0.4044126537657693,1436.9918604854436,0.024083782369588688,59.143465171996965,27.36896596919783
53,1,19,7,0.032577879353234536,900,175447.78362695745,-0.1058848720086625,-0.24492688973868842,-0.4649662448091299,903.6791107787129,0.02119815839484872,33.61424115111315,24.069901403591107
54,1,20,7,0.027696613370112384,1854,1544390.232865234,0.1262721177352106,-0.01867285579907559,-0.33310000142636836,662.6076786345899,0.019885867871950416,54.3956911673699,26.548251259010694
55,1,21,7,0.037636703759447776,866,6967801.324824765,-0.3684712895609377,-0.11484114803594356,-0.22665480130534335,1304.7854298914358,0.025854717963198777,35.69828223532364,79.40969474723592
56,1,22,14,0.047293649163444924,1976,512065.3335765192,-0.23572091977354023,-0.21097165979270058,-0.17882849574054213,901.5347252425332,0.014881033346173926,32.73477509895453,26.276975240783514
57,1,23,12,0.11121633767542195,1627,883188.7493720403,-0.4699591191972674,-0.41401455618791044,-0.47524880054488045,1417.8019482231816,0.025139524578260127,34.25873026219672,29.47322881121538
58,1,24,30,0.04932504489569241,4104,26814117.072056457,-0.1896430420282353,-0.156608853143882,-0.06916037681510959,1373.4628725971922,0.018582842028746615,36.30299021752615,71.8699725051426
59,1,25,4,0.0679050120103455,947,360027.862982863,-0.5698959256711502,-0.042006263934630333,-0.22977599587398795,860.226814084047,0.015873449344321406,56.50728985515013,22.641677979192465
60,1,26,7,0.013983305225024235,963,6866210.817593506,0.2975114428494804,-0.05096653705985817,-0.07979223276085905,1156.0843260193578,0.024015002428680113,39.71953041130805,75.47702956128758
61,1,27,14,0.036839486403457036,4804,3540105.278709464,0.05749456154996765,-0.2506218576436669,-0.37221418135681494,1017.0719473921345,0.029663024974974188,47.657313766974646,29.05043400742017
62,1,28,7,0.02961084559525673,2762,1711742.7057590536,-0.09450276940041295,-0.32258861495593144,-0.20009579694948318,1210.7180620229212,0.022154740249455615,52.62446468408483,18.51708311127366
63,1,29,22,0.05403034715018489,2521,910085.4605896093,0.0,0.0,0.0,1555.8106129008781,0.017437497931217814,53.06454472172706,15.172629854498508
64,1,30,13,0.05942482238530409,2145,1087968.560804776,-0.1291673422342766,-0.10615831722858828,-0.029522767760051607,1218.0953999495914,0.017198501501653137,53.760185451254074,13.257256872556486
65,1,31,40,0.08223706867901713,5887,3184734.975342546,-0.16173192697726696,-0.00878416591623167,0.09607958958271572,1137.62047008097,0.016419440754017783,37.98803045562975,30.221818793933743
66,1,32,5,0.02445463432868202,1122,3549469.1364499694,-0.1681287898958046,0.3307878946307689,0.13402400603470932,750.2649900774232,0.019441896991491646,34.67394833307612,55.005190677323206
67,1,33,14,0.12569750290420884,1225,629326.4845832947,-0.03530557828147698,0.22909475846734823,0.19027943789556181,629.2591753534197,0.015641993178400867,59.793252702112916,9.179753215099078
68,1,34,10,0.035941119541256936,630,20506.845342855297,0.0,0.0,0.0,467.9636468705693,0.012112300925914098,33.842621417727536,28.028086803801152
69,2,0,1,0.0,92,14086.65280760371,0.0,0.0,0.0,0.0,0.0,56.11956521739139,9.953117828539456
70,2,1,1,0.0,66,16884.506623304907,0.0,0.0,0.0,0.0,0.0,52.88318181818185,20.055546975456323
71,2,2,1,0.0,89,36156.5449743848,0.0,0.0,0.0,0.0,0.0,38.0901123595505,48.65609301772754
72,2,3,1,0.0,60,14523.051076075526,0.0,0.0,0.0,0.0,0.0,31.54999999999997,22.129040482613583
73,2,4,1,0.0,98,17680.090016102185,0.0,0.0,0.0,0.0,0.0,54.030510204081615,17.973164272547397
74,2,5,2,0.04794868024047852,208,48507.10493263128,0.0,0.0,0.0,2693.546914127534,0.03676238795731036,66.68254409638546,13.953598050644827
75,2,6,2,0.03770811487408393,192,25599.738363998364,-0.5993924318685369,-0.6098180066287385,-0.7450508311948041,2109.634092187785,0.04955118696945003,35.23776119402979,29.174912836281628
